budget,genres,homepage,id,keywords,language,original_language,original_title,overview,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,vote_average,vote_count,lead_actor_1,lead_actor_2,lead_actor_3,director,release_year
59000000,"Animation, Comedy, Family, Adventure",http://www.iceagemovies.com/films/ice-age,425,"human evolution, parents kids relationship, squirrel, ice, loss of child, mammoth, sloth, dying and death, stone age, prehistoric, saber-toothed tiger, cavemen, prehistoric creature, prehistoric adventure, prehistoric times, prehistoric man",en,English,Ice Age,"With the impending ice age almost upon them, a mismatched trio of prehistoric critters Â Manny the woolly mammoth, Diego the saber-toothed tiger and Sid the giant sloth Â find an orphaned infant and decide to return it to its human parents. Along the way, the unlikely allies become friends but, when enemies attack, their quest takes on far nobler aims.",99.561972,"Twentieth Century Fox Film Corporation, Blue Sky Studios, Twentieth Century Fox Animation",United States of America,03-10-2002,383257136,81,English,Released,They came. They thawed. They conquered.,Ice Age,7.1,3857,Ray Romano,John Leguizamo,Denis Leary,Chris Wedge,2002
65000000,"History, Drama",Unknown,72976,"usa president, speech, battlefield, family conflict, mourning, american civil war, cultural conflict, based on true events, battle of gettysburg, secession, presidential cabinet, gettysburg address, conflagration, ethical dilemma, emancipation, abraham lincoln",en,English,Lincoln,"A revealing drama that focuses on the 16th President's tumultuous final months in office. In a nation divided by war and the strong winds of change, Lincoln pursues a course of action designed to end the war, unite the country and abolish slavery. With the moral courage and fierce determination to succeed, his choices during this critical moment will change the fate of generations to come.",36.307296,"DreamWorks, Amblin Entertainment, Twentieth Century Fox Film Corporation, Dune Entertainment, The Kennedy/Marshall Company, Participant Media, Reliance Entertainment","India, United States of America",11-09-2012,275293450,149,English,Released,"With the moral courage and fierce determination to succeed, his choices will change the fate of generations to come.",Lincoln,6.7,1429,Daniel Day-Lewis,Sally Field,David Strathairn,Steven Spielberg,2012
65000000,"Comedy, Drama",http://duedatemovie.warnerbros.com/,41733,"highway, slacker, hitchhiker, wallet, sunglasses, rest stop, vicodin, waffle",en,English,Due Date,"Peter Highman must scramble across the US in five days to be present for the birth of his first child. He gets off to a bad start when his wallet and luggage are stolen, and put on the 'no-fly' list. Peter embarks on a terrifying journey when he accepts a ride from an actor.",43.865294,"Legendary Pictures, Green Hat Films, Warner Bros.",United States of America,11-04-2010,211780824,95,"English, EspaÃ±ol",Released,Leave Your Comfort Zone,Due Date,6.2,1685,Robert Downey Jr.,Zach Galifianakis,Michelle Monaghan,Todd Phillips,2010
50000000,"Action, Adventure, Drama, Thriller",Unknown,9208,"helicopter, river, captain, underground, mexican standoff, countdown, pilot, fistfight, canyon, major, betrayal, gunfight, train, explosion, park ranger, desert, military, nuclear device, boxing, stealth aircraft, abandoned mine, humvee",en,English,Broken Arrow,"When rogue stealth-fighter pilot Vic Deakins deliberately drops off the radar while on maneuvers, the Air Force ends up with two stolen nuclear warheads -- and Deakins's co-pilot, Riley Hale, is the military's only hope for getting them back. Traversing the deserted canyons of Utah, Hale teams with park ranger Terry Carmichael to put Deakins back in his box.",22.769108,"Twentieth Century Fox Film Corporation, WCG Entertainment Productions, Mark Gordon Productions",United States of America,02-09-1996,150270147,108,English,Released,Prepare to Go Ballistic.,Broken Arrow,5.7,453,John Travolta,Christian Slater,Samantha Mathis,John Woo,1996
65000000,"Fantasy, Comedy, Family",http://movies.disney.com/the-kid,4244,"age difference, midlife crisis, suppressed past, self-awareness, childhood memory, humor, changing the past or future",en,English,The Kid,"Powerful businessman Russ Duritz is self-absorbed and immersed in his work. But by the magic of the moon, he meets Rusty, a chubby, charming 8-year-old version of himself who can't believe he could turn out so badly -- with no life and no dog. With Rusty's help, Russ is able to reconcile the person he used to dream of being with the man he's actually become.",18.281798,Walt Disney Pictures,United States of America,07-07-2000,69700000,104,English,Released,Nobody ever grows up quite like they imagined.,The Kid,6.0,238,Bruce Willis,Spencer Breslin,Emily Mortimer,Jon Turteltaub,2000
63000000,"Drama, History, Thriller",Unknown,1852,"terror, runaway, alarm clock, hero, firemen, fire engine, war on terror, rescue, marine, hospital, trapped, rubble, rescue team",en,English,World Trade Center,"On September, 11th 2001, after the terrorist attack to the World Trade Center, the building collapses over the rescue team from the Port Authority Police Department. Will Jimeno and his sergeant John McLoughlin are found alive trapped under the wreckage while the rescue teams fight to save them.",24.697533,"Paramount Pictures, Double Feature Films, Intermedia Films, Kernos Filmproduktionsgesellschaft & Company",United States of America,08-09-2006,162945894,128,English,Released,The world saw evil that day. Two men saw something else.,World Trade Center,5.9,447,Nicolas Cage,Maria Bello,Maggie Gyllenhaal,Oliver Stone,2006
65000000,"Science Fiction, Action, Horror, Thriller, Adventure, Fantasy",http://www.warnerbros.com/blade-trinity,36648,"fbi, dracula, fistfight, vampire hunter, superhero, based on comic book, martial arts master, motorcycle, katana sword, blade, loss of friend, super villain, vampire slayer, fast motion scene, female vampire",en,English,Blade: Trinity,"For years, Blade has fought against the vampires in the cover of the night. But now, after falling into the crosshairs of the FBI, he is forced out into the daylight, where he is driven to join forces with a clan of human vampire hunters he never knew existed - The Nightstalkers. Together with Abigail and Hannibal, two deftly trained Nightstalkers, Blade follows a trail of blood to the ancient creature that is also hunting him, the original vampire, Dracula.",49.660055,"New Line Cinema, Amen Ra Films, Shawn Danielle Productions Ltd., Imaginary Forces, Marvel Enterprises, Peter Frankfurt Productions",United States of America,12-08-2004,128905366,123,"Esperanto, English",Released,The final hunt begins.,Blade: Trinity,5.7,1252,Wesley Snipes,Kris Kristofferson,Dominic Purcell,David S. Goyer,2004
4200000,"Action, Thriller",Unknown,1880,"guerrilla, colorado, invasion, anti-communism, near future, red army",en,English,Red Dawn,"It is the mid-1980s. From out of the sky, Soviet and Cuban troops begin landing on the football field of a Colorado high school. In seconds, the paratroops have attacked the school and sent a group of teenagers fleeing into the mountains. Armed only with hunting rifles, pistols and bows and arrows, the teens struggles to survive the bitter winter and Soviet KGB patrols hunting for them.",11.743085,"United Artists, Valkyrie Films",United States of America,08-10-1984,38376497,114,"English, P??????, EspaÃ±ol",Released,Unknown,Red Dawn,6.4,215,Patrick Swayze,C. Thomas Howell,Lea Thompson,John Milius,1984
65000000,"Action, Horror, Science Fiction",http://www.residentevil-movie.com/site/,71679,"mutant, dystopia, sequel, conspiracy, tokyo japan, zombie, based on video game, moscow, hand to hand combat, virus, plague, pandemic, mega corporation",en,English,Resident Evil: Retribution,"The Umbrella CorporationÂs deadly T-virus continues to ravage the Earth, transforming the global population into legions of the flesh eating Undead. The human raceÂs last and only hope, Alice, awakens in the heart of UmbrellaÂs most clandestine operations facility and unveils more of her mysterious past as she delves further into the complex. Without a safe haven, Alice continues to hunt those responsible for the outbreak; a chase that takes her from Tokyo to New York, Washington, D.C. and Moscow, culminating in a mind-blowing revelation that will force her to rethink everything that she once thought to be true. Aided by new found allies and familiar friends, Alice must fight to survive long enough to escape a hostile world on the brink of oblivion. The countdown has begun.",6.227675,Davis-Films,"Canada, France, Germany, United States of America",09-12-2012,240159255,95,English,Released,The Ultimate Battle Begins,Resident Evil: Retribution,5.6,1600,Milla Jovovich,Sienna Guillory,Michelle Rodriguez,Paul W.S. Anderson,2012
65000000,"Crime, Action, Mystery, Thriller",Unknown,11412,"assassination, amnesia, hostage, chase, dark comedy, teacher, escape, single mother, timebomb, candlelight vigil, rogue agent, street shootout, ex cia agent, christmas parade",en,English,The Long Kiss Goodnight,"Samantha Caine, suburban homemaker, is the ideal mom to her 8 year old daughter Caitlin. She lives in Honesdale, PA, has a job teaching school and makes the best Rice Krispie treats in town. But when she receives a bump on her head, she begins to remember small parts of her previous life as a lethal, top-secret agent",15.858629,"New Line Cinema, Forge, The Steve Tisch Company",United States of America,10-11-1996,89456761,120,English,Released,What's forgotten is not always gone.,The Long Kiss Goodnight,6.5,314,Geena Davis,Samuel L. Jackson,Yvonne Zima,Renny Harlin,1996
65000000,"Family, Fantasy, Science Fiction, Adventure",Unknown,6795,"adventure, house, alien, giant robot, outer space, astronaut",en,English,Zathura: A Space Adventure,"After their father is called into work, two young boys, Walter and Danny, are left in the care of their teenage sister, Lisa, and told they must stay inside. Walter and Danny, who anticipate a boring day, are shocked when they begin playing Zathura, a space-themed board game, which they realize has mystical powers when their house is shot into space. With the help of an astronaut, the boys attempt to return home.",15.194239,"Columbia Pictures Corporation, Teitler Film, Michael De Luca Productions, Radar Pictures",United States of America,11-06-2005,64321501,101,English,Released,Adventure Is Waiting,Zathura: A Space Adventure,6.1,779,Jonah Bobo,Josh Hutcherson,Dax Shepard,Jon Favreau,2005
65000000,Drama,Unknown,11170,"american football, 1970s, trainer, college, sport",en,English,We Are Marshall,"When a plane crash claims the lives of members of the Marshall University football team and some of its fans, the team's new coach and his surviving players try to keep the football program alive.",8.629665,"Legendary Pictures, Thunder Road Pictures, Wonderland Sound and Vision, Warner Bros.",United States of America,12-12-2006,43545364,124,English,Released,From the ashes we rose.,We Are Marshall,6.7,186,Matthew McConaughey,Matthew Fox,Anthony Mackie,McG,2006
64000000,"Drama, Romance",Unknown,12618,"infidelity, politician, airplane crash, death, death of husband, police sergeant, death of wife",en,English,Random Hearts,After the death of their loved ones in a tragic plane crash 'Harrison Ford' and Kristin Scott Thomas find each others keys in each others loved ones posessions and realize that they were having an affair and must figure out all the details. Written by Andy HeitzThe wife of Police Sergeant Dutch Van Den Broek and the husband of politician Kay Chandler are killed in a plane crash. Now Dutch discovers some anomalies in what he told her before she left and discovers that she and Chandler's husband were travelling together. Dutch then goes to Chandler and tells her that he suspects that they were having an affair. He tells her that he wants to know the truth; she tells him that she doesn't but she later joins him and they grow close.,4.137237,Columbia Pictures,United States of America,10-08-1999,74608570,133,English,Released,In a perfect world...they never would have met.,Random Hearts,5.3,63,Harrison Ford,Kristin Scott Thomas,Charles S. Dutton,Sydney Pollack,1999
55000000,"Adventure, Drama",http://www.everestmovie.com/,253412,"mountains, snow storm, hiking, climbing, snow, death, blizzard, mountain climbing, based on true events, mount everest, 3d",en,English,Everest,"Inspired by the incredible events surrounding a treacherous attempt to reach the summit of the world's highest mountain, ""Everest"" documents the awe-inspiring journey of two different expeditions challenged beyond their limits by one of the fiercest snowstorms ever encountered by mankind. Their mettle tested by the harshest of elements found on the planet, the climbers will face nearly impossible obstacles as a lifelong obsession becomes a breathtaking struggle for survival.",60.246978,"Universal Pictures, Working Title Films, Walden Media, Cross Creek Pictures, Free State Pictures, RVK Studios","Iceland, United States of America, United Kingdom",09-10-2015,203427584,121,English,Released,The Storm Awaits.,Everest,6.7,1772,Jason Clarke,Jake Gyllenhaal,Josh Brolin,Baltasar Kormkur,2015
63000000,"Adventure, Science Fiction",http://www.jurassicpark.com/,329,"exotic island, dna, paleontology, tyrannosaurus rex, triceratops, brontosaurus, electric fence, island, dinosaur, amusement park, theme park, jurassic park",en,English,Jurassic Park,"A wealthy entrepreneur secretly creates a theme park featuring living dinosaurs drawn from prehistoric DNA. Before opening day, he invites a team of experts and his two eager grandchildren to experience the park and help calm anxious investors. However, the park is anything but amusing as the security systems go off-line and the dinosaurs escape.",40.413191,"Universal Pictures, Amblin Entertainment",United States of America,06-11-1993,920100000,127,"English, EspaÃ±ol",Released,An adventure 65 million years in the making.,Jurassic Park,7.6,4856,Sam Neill,Laura Dern,Jeff Goldblum,Steven Spielberg,1993
62000000,"Action, Drama, Thriller",Unknown,9331,"assassination, spy, ambush, cia, helicopter, based on novel, usa president, sniper, fbi, colombia, drug traffic, bomber, mission of murder, mercenary, insurgence, coast guard, spying, war, car bomb, drug cartel, conspiracy, shootout, infantry, violence, jack ryan, political cover-up",en,English,Clear and Present Danger,CIA Analyst Jack Ryan is drawn into an illegal war fought by the US government against a Colombian drug cartel.,18.832471,"Paramount Pictures, Mace Neufeld Productions",United States of America,08-03-1994,215887717,141,English,Released,The war of drugs would lead him to the war of power.,Clear and Present Danger,6.4,386,Harrison Ford,Willem Dafoe,Anne Archer,Phillip Noyce,1994
65000000,"Action, Adventure, War",http://300themovie.warnerbros.com,1271,"evisceration, javelin, shield, army, fall from height, ancient world, s.a.t., minions",en,English,300,"Based on Frank Miller's graphic novel, ""300"" is very loosely based the 480 B.C. Battle of Thermopylae, where the King of Sparta led his army against the advancing Persians; the battle is said to have inspired all of Greece to band together against the Persians, and helped usher in the world's first democracy.",65.197968,"Virtual Studios, Legendary Pictures, Hollywood Gang Productions, Atmosphere Entertainment MM, Warner Bros., Nimar Studios, Cruel and Unusual Films",United States of America,12-09-2006,422610419,117,English,Released,"Spartans, prepare for glory!",300,7.0,4997,Gerard Butler,Lena Headey,Dominic West,Zack Snyder,2006
60000000,"Fantasy, Drama, Crime",http://thegreenmile.warnerbros.com/,497,"southern usa, black people, mentally disabled, based on novel, heal, death row, jail guard, great depression, prison guard, electric chair, magic realism, healing, death row inmate, 1930s",en,English,The Green Mile,"A supernatural tale set on death row in a Southern prison, where gentle giant John Coffey possesses the mysterious power to heal people's ailments. When the cellblock's head guard, Paul Edgecomb, recognizes Coffey's miraculous gift, he tries desperately to help stave off the condemned man's execution.",103.698022,"Castle Rock Entertainment, Darkwoods Productions, Warner Bros.",United States of America,12-10-1999,284600000,189,"FranÃ§ais, English",Released,Miracles do happen.,The Green Mile,8.2,4048,Tom Hanks,Michael Clarke Duncan,David Morse,Frank Darabont,1999
150000000,"Animation, Family, Comedy",http://movies.disney.com/chicken-little,9982,"fish, small town, space marine, chicken, alien, best friend, alien invasion, animal, duringcreditsstinger, 3d",en,English,Chicken Little,"When the sky really is falling and sanity has flown the coop, who will rise to save the day? Together with his hysterical band of misfit friends, Chicken Little must hatch a plan to save the planet from alien invasion and prove that the world's biggest hero is a little chicken.",47.973995,"Walt Disney Pictures, Walt Disney Feature Animation",United States of America,11-04-2005,314432665,81,English,Released,"When it comes to saving the world, it helps to be a little chicken.",Chicken Little,5.6,944,Zach Braff,Joan Cusack,Dan Molina,Mark Dindal,2005
61000000,"Mystery, Thriller, Drama",http://www.gonegirlmovie.com/,210577,"based on novel, marriage crisis, disappearance, cheating husband, missing person, search party, criminal lawyer, wife murder, murder suspect, missing wife",en,English,Gone Girl,"With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.",143.041543,"Twentieth Century Fox Film Corporation, Regency Enterprises, New Regency Pictures, Pacific Standard, TSG Entertainment, Artemple - Hollywood",United States of America,10-01-2014,369330363,145,English,Released,You don't know what you've got 'til it's...,Gone Girl,7.9,5862,Ben Affleck,Rosamund Pike,Carrie Coon,David Fincher,2014
60000000,"Comedy, Drama",Unknown,37165,"claustrophobia, hidden camera, dystopia, reality show, make believe, pretend",en,English,The Truman Show,"Truman Burbank is the star of ""The Truman Show"", a 24-hour-a-day ""reality"" TV show that broadcasts every aspect of his life -- live and in color -- without his knowledge. His entire life has been an unending soap opera for consumption by the rest of the world. And everyone he knows -- including his wife and his best friend -- is really an actor, paid to be part of his life.",56.488027,"Paramount Pictures, Scott Rudin Productions",United States of America,06-04-1998,264118201,103,English,Released,On the air. Unaware.,The Truman Show,7.8,4537,Jim Carrey,Laura Linney,Noah Emmerich,Peter Weir,1998
60000000,"Comedy, Family",Unknown,10708,"competition, success, kindergarten, children, unemployment",en,English,Daddy Day Care,"Two men get laid off and have to become stay-at-home dads when they can't find jobs, which inspires them to open their own day-care center.",18.106021,"Columbia Pictures, Revolution Studios, Davis Entertainment",United States of America,05-03-2003,164433867,92,English,Released,Who's your daddy?,Daddy Day Care,5.6,506,Eddie Murphy,Jeff Garlin,Steve Zahn,Steve Carr,2003
61000000,"Action, Comedy, Crime",http://www.2guns.net/,136400,"undercover, undercover agent, based on comic book, money, fugitive, bank robbery, dea agent",en,English,2 Guns,A DEA agent and an undercover Naval Intelligence officer who have been tasked with investigating one another find they have been set up by the mob -- the very organization the two men believe they have been stealing money from.,42.881415,"Universal Studios, Marc Platt Productions, Emmett/Furla Films, Envision Entertainment Corporation",United States of America,08-02-2013,131940411,109,"EspaÃ±ol, English",Released,"2 Guns, 1 Bank.",2 Guns,6.6,1589,Denzel Washington,Mark Wahlberg,Paula Patton,Baltasar Kormkur,2013
60000000,"Comedy, Family",http://catsanddogsmovie.warnerbros.com/cmp/main.html,10992,"fight, governance, puppy, allergy, 3d",en,English,Cats & Dogs,"When a professor develops a vaccine that eliminates human allergies to dogs, he unwittingly upsets the fragile balance of power between cats and dogs and touches off an epic battle for pet supremacy. The fur flies as the feline faction, led by Mr. Tinkles, squares off against wide-eyed puppy Lou and his canine cohorts.",18.735024,"Village Roadshow Pictures, NPV Entertainment, Mad Chance, Zide-Perry Productions, Warner Bros., BenderSpink",United States of America,07-04-2001,93375151,87,"English, FranÃ§ais, Deutsch, ???????",Released,Things Are Gonna Get Hairy!,Cats & Dogs,5.0,352,Jeff Goldblum,Elizabeth Perkins,Alexander Pollock,Lawrence Guterman,2001
60000000,"Adventure, Animation, Comedy, Family",Unknown,8916,"general, hero, worker, ant, work, assignment, war, princess, soldier, individuality, friend",en,English,Antz,"In this animated hit, a neurotic worker ant in love with a rebellious princess rises to unlikely stardom when he switches places with a soldier. Signing up to march in a parade, he ends up under the command of a bloodthirsty general. But he's actually been enlisted to fight against a termite army.",41.515702,"DreamWorks SKG, Pacific Data Images (PDI), DreamWorks Animation",United States of America,10-02-1998,171757863,83,English,Released,Every ant has his day.,Antz,6.0,1272,Woody Allen,Dan Aykroyd,Anne Bancroft,Eric Darnell,1998
61000000,Action,http://mazerunnermovies.com,294254,"based on novel, resistance, maze, post-apocalyptic, dystopia, infection, on the run, escape, zombie, storm, disease, desert, sewer, antidote, corporation, virus, runner, city ruin, immunity",en,English,Maze Runner: The Scorch Trials,"Thomas and his fellow Gladers face their greatest challenge yet: searching for clues about the mysterious and powerful organization known as WCKD. Their journey takes them to the Scorch, a desolate landscape filled with unimaginable obstacles. Teaming up with resistance fighters, the Gladers take on WCKDÂs vastly superior forces and uncover its shocking plans for them all.",113.161483,"Gotham Group, Temple Hill Entertainment, TSG Entertainment",United States of America,09-09-2015,311256926,132,English,Released,The Maze Was Just the Beginning.,Maze Runner: The Scorch Trials,6.4,3040,Dylan O'Brien,Kaya Scodelario,Thomas Brodie-Sangster,Wes Ball,2015
60000000,Drama,http://www.sonypictures.com/movies/eatpraylove/,38167,"indonesia, female protagonist, india, divorce, bali",en,English,Eat Pray Love,"Liz Gilbert had everything a modern woman is supposed to dream of having Â a husband, a house and a successful career Â yet like so many others, she found herself lost, confused and searching for what she really wanted in life. Newly divorced and at a crossroads, Gilbert steps out of her comfort zone, risking everything to change her life, embarking on a journey around the world that becomes a quest for self-discovery. In her travels, she discovers the true pleasure of nourishment by eating in Italy, the power of prayer in India and, finally and unexpectedly, the inner peace and balance of true love in Bali.",28.800112,"Columbia Pictures, Red Om Films, Plan B Entertainment",United States of America,08-12-2010,204594016,133,"PortuguÃªs, English, Italiano",Released,Let Yourself GO,Eat Pray Love,5.8,636,Julia Roberts,James Franco,Javier Bardem,Ryan Murphy,2010
65000000,"Drama, Crime, Thriller",Unknown,1538,"california, taxi, assassin, hostage, taxi driver, fbi, hitman, police, los angeles, murderer, crime, criminal, gun violence",en,English,Collateral,Cab driver Max picks up a man who offers him $600 to drive him around. But the promise of easy money sours when Max realizes his fare is an assassin.,44.815022,"Paramount Pictures, DreamWorks SKG, Parkes/MacDonald Productions, Edge City",United States of America,08-04-2004,217764291,120,"EspaÃ±ol, English",Released,It started like any other night.,Collateral,7.0,1451,Tom Cruise,Jamie Foxx,Jada Pinkett Smith,Michael Mann,2004
60000000,"Drama, Action, Thriller",Unknown,11128,"ledge, practical joke",en,English,Ladder 49,"Under the watchful eye of his mentor, Captain Mike Kennedy, probationary firefighter Jack Morrison matures into a seasoned veteran at a Baltimore fire station. However, Jack has reached a crossroads  as the sacrifices he's made have put him in harm's way innumerable times and significantly impacted his relationship with his wife and kids.",10.99991,"Casey Silver Productions, Beacon Communications, Touchstone Pictures, Beacon Pictures, Fantail Films Inc.",United States of America,10-01-2004,74541707,115,English,Released,Their greatest challenge lies in rescuing one of their own,Ladder 49,6.2,207,Joaquin Phoenix,John Travolta,Jacinda Barrett,Jay Russell,2004
60000000,"Drama, Thriller, Science Fiction",http://contagionmovie.warnerbros.com/,39538,"saving the world, mutation, infection, terminal illness, quarantine, outbreak, medical, vaccine, lethal virus, scientist, epidemic",en,English,Contagion,"As an epidemic of a lethal airborne virus - that kills within days - rapidly grows, the worldwide medical community races to find a cure and control the panic that spreads faster than the virus itself.",38.820858,"Double Feature Films, Regency Enterprises, Warner Bros., Participant Media, Imagenation Abu Dhabi FZ","United States of America, United Arab Emirates",09-08-2011,137551594,106,"English, ??? / ???, ???",Released,Nothing spreads like fear,Contagion,6.2,1325,Matt Damon,Gwyneth Paltrow,Kate Winslet,Steven Soderbergh,2011
60000000,"Animation, Family",http://coraline.com/,14836,"dream, eye, stuffed animal, parallel world, button, new home, secret door, aftercreditsstinger, duringcreditsstinger",en,English,Coraline,"When Coraline moves to an old house, she feels bored and neglected by her parents. She finds a hidden door with a bricked up passage. During the night, she crosses the passage and finds a parallel world where everybody has buttons instead of eyes, with caring parents and all her dreams coming true. When the Other Mother invites Coraline to stay in her world forever, the girl refuses and finds that the alternate reality where she is trapped is only a trick to lure her.",51.146047,"Focus Features, Laika Entertainment",United States of America,02-05-2009,124596398,100,English,Released,Be careful what you wish for.,Coraline,7.3,1386,Dakota Fanning,Teri Hatcher,Jennifer Saunders,Henry Selick,2009
60000000,"Thriller, Science Fiction",http://www.thehappeningmovie.com,8645,"tree, natural disaster, crisis, park, strange behavior",en,English,The Happening,"When a deadly airborne virus threatens to wipe out the northeastern United States, teacher Elliott Moore (Mark Wahlberg) and his wife (Zooey Deschanel) flee from contaminated cities into the countryside in a fight to discover the truth. Is it terrorism, the accidental release of some toxic military bio weapon -- or something even more sinister? John Leguizamo and Betty Buckley co-star in this thriller from writer-director M. Night Shyamalan.",20.501582,"Spyglass Entertainment, Twentieth Century Fox Film Corporation, Dune Entertainment, UTV Motion Pictures, Blinding Edge Pictures","United States of America, India, France",06-11-2008,163403799,91,"English, FranÃ§ais",Released,We've Sensed It. We've Seen The Signs. Now... It's Happening.,The Happening,4.9,950,Mark Wahlberg,Zooey Deschanel,John Leguizamo,M. Night Shyamalan,2008
50000000,"Comedy, Family",http://movies.disney.com/the-shaggy-dog-2006,10067,"father son relationship, parents kids relationship, workaholic, wife husband relationship, transformation, body exchange, daughter, lawyer, dog, family, turns into animal",en,English,The Shaggy Dog,The tale of a workaholic dad-turned-dog who finds that being man's best friend shows him the most important job - being a great dad.,4.280619,"Walt Disney Pictures, Mandeville Films, Boxing Cat Films",United States of America,03-09-2006,61112916,98,English,Released,It's going to be a ruff day.,The Shaggy Dog,4.5,137,Tim Allen,Kristin Davis,Danny Glover,Brian Robbins,2006
60000000,"Comedy, Crime",Unknown,9384,"informant, jumping from a rooftop, surveillance footage",en,English,Starsky & Hutch,"Join uptight David Starsky and laid-back Ken ""Hutch"" Hutchinson as they're paired for the first time as undercover cops. The new partners must overcome their differences to solve an important case with help from street informant Huggy Bear and persuasive criminal Reese Feldman.",28.848842,"Weed Road Pictures, Warner Bros., Dimension Films, Red Hour Films, AR-TL",United States of America,03-05-2004,170268750,101,"English, ???/???",Released,They're the man.,Starsky & Hutch,5.6,644,Ben Stiller,Owen Wilson,Snoop Dogg,Todd Phillips,2004
66000000,"Fantasy, Action, Science Fiction",http://www.sonypictures.com/homevideo/hellboy/,1487,"black magic, fistfight, cover-up, superhero, paranormal phenomena, narration from grave, demon, occult, combat photography, reanimated corpse, duringcreditsstinger",en,English,Hellboy,"In the final days of World War II, the Nazis attempt to use black magic to aid their dying cause. The Allies raid the camp where the ceremony is taking place, but not before a demon - Hellboy - has already been conjured. Joining the Allied forces, Hellboy eventually grows to adulthood, serving the cause of good rather than evil.",47.479755,"Revolution Studios, Dark Horse Entertainment, Lawrence Gordon Productions, Starlite Films",United States of America,04-02-2004,99318987,122,"P??????, English",Released,From the Dark Side to Our Side.,Hellboy,6.5,2225,Ron Perlman,Selma Blair,Rupert Evans,Guillermo del Toro,2004
70000000,Drama,Unknown,9422,"success, advancement, right and justice, leukemia, lawyer, business start-up",en,English,A Civil Action,"Jan Schlickmann is a cynical lawyer who goes out to ""get rid of"" a case, only to find out it is potentially worth millions. The case becomes his obsession, to the extent that he is willing to give up everything - including his career and his clients' goals, in order to continue the case against all odds.",10.147321,"Paramount Pictures, Wildwood Enterprises, Touchstone Pictures",United States of America,03-05-1998,56702901,115,English,Released,Justice has its price.,A Civil Action,6.1,109,John Travolta,Robert Duvall,Tony Shalhoub,Steven Zaillian,1998
60000000,"Family, Animation, Adventure, Comedy",http://paranorman.com,77174,"medium, stop motion, curse, jock, ghost, communicating with the dead, aftercreditsstinger, dealing with the past, witch trial, child witch, empathy, strange",en,English,ParaNorman,"In the town of Blithe Hollow, Norman Babcock is a boy who can speak to the dead, but no one besides his eccentric new friend, Neil, believes his ability is real. One day, Norman's estranged eccentric uncle tells him of an important annual ritual he must take up to protect the town from an curse cast by a witch it condemned centuries ago. Eventually, Norman decides to cooperate, but things don't go according to plan. Now, a magic storm of the witch threatens Blithe Hollow as the accursed dead rise. Together with unexpected new companions, Norman struggles to save his town, only to discover the horrific truth of the curse. With that insight, Norman must resolve the crisis for good as only he can.",39.539045,"Focus Features, Laika Entertainment",United States of America,08-03-2012,107139399,90,English,Released,It's all fun and games until someone raises the dead.,ParaNorman,6.7,789,Kodi Smit-McPhee,Tucker Albrizzi,Jodelle Ferland,Sam Fell,2012
60000000,"Action, Crime, Thriller",https://www.facebook.com/LondonHasFallenOfficial,267860,"london england, terrorist, terrorist attack",en,English,London Has Fallen,"In London for the Prime Minister's funeral, Mike Banning discovers a plot to assassinate all the attending world leaders.",61.849521,"Millennium Films, LHF Film, Gerard Butler Alan Siegel Entertainment, Nu Boyana Film Studios","Bulgaria, United States of America, United Kingdom",03-02-2016,205754447,99,English,Released,The world's leaders have assembled. So have their enemies.,London Has Fallen,5.8,1621,Gerard Butler,Aaron Eckhart,Morgan Freeman,Babak Najafi,2016
70000000,"Science Fiction, Horror, Action",Unknown,8078,"android, mercenary, dystopia, sequel, alien, betrayal, impalement, cloning, scientist, flamethrower, disembowelment, smuggler, gene manipulation, man in wheelchair, breeding, genetic engineering, regeneration, xenomorph, alien queen, explosive decompression, swimming underwater",en,English,Alien: Resurrection,"Two hundred years after Lt. Ripley died, a group of scientists clone her, hoping to breed the ultimate weapon. But the new Ripley is full of surprises Â as are the new aliens. Ripley must team with a band of smugglers to keep the creatures from reaching Earth.",37.44963,"Twentieth Century Fox Film Corporation, Brandywine Productions",United States of America,11-12-1997,162000000,109,English,Released,It's already too late.,Alien: Resurrection,5.9,1365,Sigourney Weaver,Winona Ryder,Brad Dourif,Jean-Pierre Jeunet,1997
60000000,"Animation, Comedy, Family, Fantasy",Unknown,170687,"based on novel, stop motion, father daughter relationship, unlikely friendship, duringcreditsstinger",en,English,The Boxtrolls,"An orphaned boy raised by underground creatures called Boxtrolls comes up from the sewers and out of his box to save his family and the town from the evil exterminator, Archibald Snatcher.",30.656345,Laika Entertainment,United States of America,09-10-2014,108255770,97,English,Released,When troubles strikes friends stack together,The Boxtrolls,6.6,668,Ben Kingsley,Isaac Hempstead-Wright,Elle Fanning,Anthony Stacchi,2014
